time_iso8601,forks_cumulative
2019-06-24 00:00:00+00:00,1
2019-11-28 00:00:00+00:00,2
2021-10-05 00:00:00+00:00,3
2021-10-18 00:00:00+00:00,4
2021-12-06 00:00:00+00:00,5
2021-12-14 00:00:00+00:00,6
2022-01-13 00:00:00+00:00,7
2022-02-02 00:00:00+00:00,8
2022-03-14 00:00:00+00:00,9
2022-03-16 00:00:00+00:00,10
2022-03-18 00:00:00+00:00,11
2022-03-28 00:00:00+00:00,12
2022-07-23 00:00:00+00:00,13
2022-11-25 00:00:00+00:00,14
2023-03-20 00:00:00+00:00,15
2023-03-22 00:00:00+00:00,16
2023-07-07 00:00:00+00:00,18
2023-07-20 00:00:00+00:00,19
2023-11-15 00:00:00+00:00,20
