time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-18 00:00:00+00:00,47.0,8.0,13.0,5.0
2024-01-19 00:00:00+00:00,9.0,5.0,155.0,11.0
2024-01-20 00:00:00+00:00,4.0,3.0,,
2024-01-21 00:00:00+00:00,5.0,4.0,24.0,1.0
2024-01-22 00:00:00+00:00,21.0,7.0,32.0,4.0
2024-01-23 00:00:00+00:00,6.0,5.0,61.0,8.0
2024-01-24 00:00:00+00:00,5.0,4.0,24.0,12.0
2024-01-25 00:00:00+00:00,6.0,5.0,132.0,9.0
2024-01-26 00:00:00+00:00,7.0,6.0,22.0,7.0
2024-01-27 00:00:00+00:00,17.0,5.0,35.0,1.0
2024-01-28 00:00:00+00:00,17.0,5.0,11.0,1.0
2024-01-29 00:00:00+00:00,12.0,6.0,19.0,8.0
2024-01-30 00:00:00+00:00,9.0,5.0,124.0,7.0
2024-01-31 00:00:00+00:00,,,12.0,6.0
